Datetime,Meter_11,Meter_3,Meter_4,Meter_5,Meter_6,Meter_9,Meter_10,Meter_12
2022-07-13 13:00:00,0.4120969495798319,1.4337082517482518,2.654543666666666,0.85928228125,0.0412295791666666,1.2255638842975207,1.2614466666666666,3.903967931034483
2022-07-13 13:30:00,0.6531075109489052,1.6766265238095237,2.909835,0.8594434545454546,0.0337586874015748,1.2270580165289255,2.4128679310344827,4.086487333333333
2022-07-13 14:00:00,0.6050855177304965,1.4868065070422536,2.6838466666666663,0.8589979999999999,0.0349047887096774,1.2239464999999998,1.6531177777777777,3.929978620689655
2022-07-13 14:30:00,0.5236976896551725,1.248670496551724,2.37253,0.7233054545454546,0.0330233872,1.2251773228346456,1.7238394444444445,4.084930666666667
2022-07-13 15:00:00,0.5683196507936508,1.1918239047619048,2.777263125,0.6867555454545454,0.0392872643410852,1.2267075,1.895563176056338,3.814137272727273
2022-07-13 15:30:00,0.5825540229007633,0.9898365,1.0753050967741935,0.6868747105263159,0.0348134515625,1.2173186956521738,0.6685176666666667,2.1525975
2022-07-13 16:00:00,0.5163767441860466,0.8505537899159664,0.0827223597222222,0.6866698510638298,0.0455641822222222,1.2384010256410258,0.5449123381294965,1.2013983333333331
2022-07-13 16:30:00,0.5974033613445379,0.7061369105691057,0.0400557040816326,0.6866516829268293,0.02650619140625,1.2153759663865549,0.5133540852713178,0.1172839208791208
2022-07-13 17:00:00,0.6286686406249999,0.6353008991596639,0.0401920268041237,0.6870536875000001,0.0266031286821705,1.2146236363636362,0.5576604047619047,0.0409767047619047
2022-07-13 17:30:00,2.028294284552845,0.7259297258064515,0.0402498060869565,0.6870394838709677,0.0266258525862068,1.2151145901639344,0.4439374923076922,0.0429020051020408
2022-07-13 18:00:00,2.15682793129771,0.7337676923076925,0.0403758666666666,0.6871785,0.02673239453125,1.2148742276422764,0.4927728604651163,0.0420232166666666
2022-07-13 18:30:00,1.7516320846153846,0.6496206446280992,0.0406080371428571,0.68727225,0.0268493694915254,1.2153588333333332,0.5861406796874999,0.0422626455445544
2022-07-13 19:00:00,1.934729215384616,0.818504186440678,0.0408794221153846,0.6871920612244897,0.0269908245901639,1.2127071311475408,0.4138926717557252,0.0419547757894736
2022-07-13 19:30:00,1.5859496953125,0.7832154957983194,0.0406398233009708,0.6871150909090908,0.0267936140495867,1.2139981666666668,0.5460971520000001,0.0427409456310679
